scheme_code,isin_growth,isin_div,scheme_name,nav,nav_date
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,106.6451,2026-07-01
119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,117.4079,2026-07-01
119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,104.6819,2026-07-01
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,149.292,2026-07-01
110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,112.6999,2026-07-01
108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.2869,2026-07-01
108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,386.7489,2026-07-01
119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,402.7544,2026-07-01
128952,INF846K01NF8,-,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272,2017-06-14
120437,-,INF846K01CU0,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.131,2026-07-01
120438,INF846K01CR6,-,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2883.4304,2026-07-01
120439,INF846K01CT2,INF846K01CS4,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1035.8792,2026-07-01
120436,INF846K01CV8,INF846K01CW6,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1039.8295,2026-07-01
128953,INF846K01NG6,-,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075,2015-05-18
117447,-,INF846K01CC8,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1039.1303,2026-07-01
117446,INF846K01CB0,-,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2788.3777,2026-07-01
117449,INF846K01CF1,INF846K01CG9,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1035.8224,2026-07-01
117448,INF846K01CD6,INF846K01CE4,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1039.8102,2026-07-01
152164,INF0QA701649,INF0QA701631,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,11.0489,2026-07-01
152163,INF0QA701615,INF0QA701623,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,12.1726,2026-07-01
152165,INF0QA701557,-,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,11.9977,2026-07-01
152166,INF0QA701565,INF0QA701573,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,11.9977,2026-07-01
152162,INF0QA701607,-,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,12.1726,2026-07-01
152167,INF0QA701599,INF0QA701581,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,10.9774,2026-07-01
121936,INF194K019M8,-,Bandhan Banking and PSU Fund - Direct Annual IDCW,12.341,2026-07-01
127471,-,INF194KA1JD3,Bandhan Banking and PSU Fund - Direct Daily IDCW,10.4768,2026-07-01
121934,-,INF194K010N5,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,10.4553,2026-07-01
121279,INF194K015G8,-,Bandhan Banking and PSU Fund - Direct Growth,26.9711,2026-07-01
121281,INF194K016G6,INF194K017G4,Bandhan Banking and PSU Fund - Direct IDCW,14.1874,2026-07-01
121935,-,INF194K011N3,Bandhan Banking and PSU Fund - Direct Monthly IDCW,10.4362,2026-07-01
121938,INF194K018M0,-,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,11.0086,2026-07-01
121933,INF194K015M6,-,Bandhan Banking and PSU Fund - Regular Annual IDCW,11.3568,2026-07-01
127470,-,INF194KA1JC5,Bandhan Banking and PSU Fund - Regular Daily IDCW,10.8788,2026-07-01
121931,-,INF194K016M4,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,10.6111,2026-07-01
121280,INF194K01SN6,-,Bandhan Banking and PSU Fund - Regular Growth,26.1281,2026-07-01
121282,INF194K01SO4,INF194K012D2,Bandhan Banking and PSU Fund - Regular IDCW,14.109,2026-07-01
121932,-,INF194K017M2,Bandhan Banking and PSU Fund - Regular Monthly IDCW,10.6803,2026-07-01
