scheme_code,isin_growth,isin_div,scheme_name,nav,nav_date
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,106.4609,2026-07-14
119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,117.2051,2026-07-14
119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,104.501,2026-07-14
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,149.0163,2026-07-14
110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,112.4917,2026-07-14
108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,102.098,2026-07-14
108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,386.0345,2026-07-14
119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,402.0587,2026-07-14
140286,INF843K01FC8,-,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,26.8448,2026-07-14
140288,INF843K01FD6,INF843K01FE4,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.5949,2026-07-14
140291,INF843K01FG9,-,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.3465,2026-07-14
140293,INF843K01FI5,INF843K01FH7,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.9132,2026-07-14
140290,INF843K01FF1,-,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5463,2026-07-14
140283,INF843K01FK1,-,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,25.8268,2026-07-14
140284,INF843K01FL9,INF843K01FM7,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,17.6557,2026-07-14
140294,INF843K01FO3,-,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,13.8688,2026-07-14
140292,INF843K01FQ8,INF843K01FP0,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.1581,2026-07-14
140289,INF843K01FN5,-,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1394,2026-07-14
119533,INF209K01S38,-,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,121.3445,2026-07-14
